"Source","Target","Source.level","Target.level","Label","Parent.Label","Colour","DSource","Unit","GEO","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010"
"Domestic Extraction","Domestic Input","Sourcing","Availability","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","TJ","EU27_2020",1879.8732,1800.324,1754.2692,1729.1484,1490.5008,1649.5992,1716.588,1716.588
"Domestic Input","Electricity and heat generation","Availability","Processing","Other renewable energy","Renewables","#e78ac3","nrg_bal_sd","TJ","EU27_2020",1879.8732,1800.324,1754.2692,1729.1484,1490.5008,1649.5992,1716.588,1716.588
"Domestic Input","Material industry","Availability","Processing","Renewable heat","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",10379.0772,9349.1244,8348.4792,7511.1192,2256.6852,2068.2792,1900.8072,1712.4012
"Electricity and heat generation","Residential housing and other energy","Processing","Services","Renewable heat","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",432232.6716,267222.51,234063.054,211839.5196,180317.1024,160421.4288,139721.8896,97778.5272
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Renewable heat","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",442611.7488,276571.6344,242411.5332,219350.6388,182577.9744,162489.708,141622.6968,99486.7416
"Domestic Extraction","Domestic Input","Sourcing","Availability","Renewable heat","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",454297.1076,289194.8364,256282.4016,232195.7412,194510.3544,177842.7036,155522.8728,99583.038
"Domestic Input","Electricity and heat generation","Availability","Processing","Renewable heat","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",7929.7992,8377.7868,9583.5852,9491.4756,7238.9772,9730.1232,8591.3136,96.2964
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",1159.7436,1469.5668,2018.0376,2064.0924,1637.0388,1528.182,1729.1484,2147.8284
"Refinery, direct carry over and other","Exports","Processing","Backflows","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",607676.3388,702092.8656,713250.6876,781286.1876,805414.716,749617.2324,729047.484,850962.9132
"Domestic Input","Material industry","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",558874.998,550476.2772,550643.7492,537095.2644,550673.0568,583359.4044,629192.304,564682.0896
"Refinery, direct carry over and other","Consumables","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",73084.7808,75203.3016,72682.848,72628.4196,72360.4644,68617.4652,69898.626,58636.134
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",460673.604,461979.8856,452798.2332,457114.824,509989.9212,526946.4612,524585.106,601802.2584
"Refinery, direct carry over and other","Transport","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",58.6152,50.2416,50.2416,50.2416,20.934,20.934,20.934,20.934
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",1181808.036,1300667.1012,1292385.6108,1336849.4268,1428255.6444,1656260.3988,1594145.034,1741746.4812
"Imports","Domestic Input","Sourcing","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",4570913.7792,4568569.1712,4732344.2268,4826455.1172,4810796.4852,4904668.728,4973173.1496,4777297.8984
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",28327.8888,28570.7232,30333.366,32778.4572,34507.6056,50840.3124,47612.2896,46151.0964
"Domestic Extraction","Domestic Input","Sourcing","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",5395051.8648,5455471.5756,5872560.5916,5992725.9384,6244758.738,6583173.5952,6568364.8836,6459729.984
"Recovery","Domestic Input","Backflows","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",20058.9588,18572.6448,20846.0772,35114.6916,28373.9436,29554.6212,29625.7968,27410.9796
"Refinery, direct carry over and other","Stocks","Processing","Services","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",6753.3084,2332.0476,17295.6708,48554.3196,19506.3012,243269.8272,82232.9388,147425.6016
"Stocks","Domestic Input","Services","Availability","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",75073.5108,356476.7124,181514.5272,28336.2624,292498.2216,199228.878,56634.8436,323459.6076
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",1279565.6292,1249475.0976,1242504.0756,1268231.9616,1229642.226,1240544.6532,1256889.9204,1288755.6552
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",159395.6628,164080.692,176862.9924,178855.9092,172789.236,165592.1268,163959.2748,153136.3968
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",1451751.966,1456587.72,1442348.4132,1440347.1228,1447481.43,1497174.5592,1548714.0672,1564749.5112
"Domestic Input","Electricity and heat generation","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",6584718.5244,6784525.1808,7253471.9016,7238190.0816,7648529.976,7866159.84,7660830.7944,7457456.9844
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Solid fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",29420.6436,35926.9308,32799.3912,35851.5684,32443.5132,37007.1252,37773.3096,37526.2884
"Refinery, direct carry over and other","Exports","Processing","Backflows","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",1528.182,1209.9852,1184.8644,1209.9852,1913.3676,1163.9304,1067.634,0
"Domestic Input","Material industry","Availability","Processing","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",166203.3996,166048.488,147283.2504,144327.3696,136242.6588,123690.6324,125750.538,104686.7472
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",8712.7308,7908.8652,7808.382,8729.478,8754.5988,6644.4516,6790.9896,10655.406
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",178520.9652,177876.198,159169.5756,157344.1308,149669.7264,133923.1716,136623.6576,118306.4076
"Imports","Domestic Input","Sourcing","Availability","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",20728.8468,19598.4108,17739.4716,15348.8088,14461.2072,10132.056,7578.108,2160.3888
"Refinery, direct carry over and other","Energy industry (consumption and losses)","Processing","Outflows","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",1934.3016,2646.0576,2897.2656,3073.1112,2600.0028,2302.74,2867.958,2884.7052
"Domestic Extraction","Domestic Input","Sourcing","Availability","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",556773.2244,554566.7808,513402.1632,508913.9136,487293.2784,471010.8132,468515.4804,444935.4228
"Domestic Input","Electricity and heat generation","Availability","Processing","Other fossil fuel","Fossil","#8da0cb","nrg_bal_sd","TJ","EU27_2020",399006.2268,396343.422,372022.3008,367153.0524,352218.7368,347286.6864,339503.4252,328810.338
"Refinery, direct carry over and other","Exports","Processing","Backflows","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",1724.9616,1419.3252,1444.446,1419.3252,1448.6328,1477.9404,1256.04,0
"Domestic Input","Material industry","Availability","Processing","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",28943.3484,23986.1772,23240.9268,21294.0648,21306.6252,13942.044,12020.3028,6489.54
"Refinery, direct carry over and other","Residential housing and other energy","Processing","Services","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",6795.1764,5978.7504,5304.6756,6510.474,7280.8452,6518.8476,6757.4952,10508.868
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",37798.4304,31727.5704,30735.2988,29596.4892,30228.696,22106.304,20038.0248,17551.0656
"Imports","Domestic Input","Sourcing","Availability","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",19351.3896,18514.0296,15981.0156,14218.3728,13431.2544,9097.9164,4345.8984,1473.7536
"Domestic Extraction","Domestic Input","Sourcing","Availability","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",380621.988,369020.3652,362317.2984,358210.0476,348077.9916,328098.582,314968.7772,308717.8848
"Domestic Input","Electricity and heat generation","Availability","Processing","Municipal waste","Renewables","#a6d854","nrg_bal_sd","TJ","EU27_2020",362212.6284,355811.0112,347571.3888,342836.118,331280.55,315090.1944,299276.6508,292640.5728
"Domestic Extraction","Domestic Input","Sourcing","Availability","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",531119.371066,531119.371066,531119.371066,569340.183961,508180.024967,484899.713682,513537.185985,480536.460813
"Domestic Extraction","Domestic Input","Sourcing","Availability","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",109075.7476878,109075.7476878,109075.7476878,112176.8125034,107408.9406711,98342.1518801,101179.52451835,97176.98707175
"Domestic Input","Losses","Availability","Outflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",87260.59815024,87260.59815024,87260.59815024,89741.45000272,85927.15253688,78673.72150408,80943.61961468,77741.5896573999
"Food industry","Animal-based food","Processing","Services","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",30644.9623319008,30644.9623319008,30644.9623319008,30348.2113876863,30199.4533708033,30091.8476785599,30221.4546882327,30195.887170178
"Food industry","Plant-based food","Processing","Services","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",105483.560225748,105483.560225748,105483.560225748,105041.348024901,105882.787944503,105236.118221706,105473.537097936,104854.002159378
"Domestic Input","Losses","Availability","Outflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",112453.173685093,112453.173685093,112453.173685093,178106.422658621,107062.348167586,109975.720281944,132751.044194281,101177.235578985
"Domestic Input","Food industry","Availability","Processing","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1e-07,1e-07,1e-07,1e-07,184.213249,196.139933,740.12077549564,186.313017
"Domestic Extraction","Domestic Input","Sourcing","Availability","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",116060.094,116060.094,116060.094,115816.986,118644.282,117674.262,120513.798,121761.72
"Domestic Input","Refinery, direct carry over and other","Availability","Processing","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",955.318545,955.318545,955.318545,966.556256,389.696433,526.096744,619.574479,734.450976
"Refinery, direct carry over and other","Exports","Processing","Backflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",0,0,0,0,0,0,0,0
"Domestic Input","Food industry","Availability","Processing","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",573524.023828248,573524.023828248,573524.023828248,566864.175350399,564122.409383756,562347.669333866,563436.757838767,556871.044612836
"Food industry","Losses","Processing","Outflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",437402.500126135,437402.500126135,437402.500126135,431474.380293664,428224.38131735,427023.735337531,428291.717897497,421815.647753804
"Animal-based food","Exports","Services","Backflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",17403.7190861945,17403.7190861945,17403.7190861945,15494.6262716656,14314.2262940867,14780.5193016319,14270.1843364333,8146.19120313506
"Plant-based food","Exports","Services","Backflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",0,0,0,0,0,0,0,0
"Domestic Input","Exports","Availability","Backflows","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",4911.87765604064,4911.87765604064,4911.87765604064,0,0,0,0,0
"Imports","Domestic Input","Sourcing","Availability","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",2e-07,2e-07,2e-07,2e-07,2e-07,2e-07,1709.5142645,2e-07
"Domestic Extraction","Domestic Input","Sourcing","Availability","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1e-07,1e-07,1e-07,1366.710625,1251.575555,1170.0552975,1288.1944025,1365.40075
"Domestic Extraction","Domestic Input","Sourcing","Availability","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1e-07,1e-07,1e-07,321.09331,305.8017725,310.1911125,314.2885575,321.0808525
"Domestic Input","Food industry","Availability","Processing","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",3e-07,3e-07,3e-07,3e-07,184.2132492,388.24796216856,930.289706093,378.13356357613
"Domestic Input","Food industry","Availability","Processing","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1770.71947180535,1770.71947180535,1770.71947180535,1783.4498884093,1808.93162755935,1783.98351395777,2915.7905,2914.2205
"Domestic Input","Exports","Availability","Backflows","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0,1e-07
"Food industry","Exports","Processing","Backflows","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0,1e-07
"Food industry","Animal-based food","Processing","Services","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1e-07,1e-07,1e-07,1e-07,1e-07,192.10802906856,190.16893059736,191.82054647613
"Domestic Extraction","Domestic Input","Sourcing","Availability","Fisheries biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",1770.71947180535,1770.71947180535,1770.71947180535,95.6459536092959,435.767549159352,691.985066026334,534.082981593001,1605.87246097613
"Domestic Extraction","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",16888.505005245,16888.505005245,16888.505005245,16780.6681725997,16384.295431585,15736.4145741362,15342.3958649202,14683.0492963704
"Domestic Extraction","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",90588.3600394166,90588.3600394166,90588.3600394166,89525.6463466912,87305.3588620058,85627.5195215215,86142.684836372,84703.8152264457
"Domestic Extraction","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",240513.236245298,240513.236245298,240513.236245298,237532.067307994,229898.016545977,226662.528202978,227250.992401776,224112.061591693
"Imports","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",10073.4875646,10073.4875646,10073.4875646,9684.73540152,8774.33855748,8811.55173132,6212.3265788,7874.4523528
"Imports","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",8201.49838636364,8201.49838636364,8201.49838636364,7692.72218181818,7571.36425,6475.65522727273,5831.89097727273,6868.53286363636
"Domestic Input","Exports","Availability","Backflows","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",0,0,0,0,0,0,0,0
"Domestic Input","Exports","Availability","Backflows","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",0,0,0,0,0,0,0,0
"Forestry industry","Exports","Processing","Backflows","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",0,0,0,0,0,0,0,0
"Forestry industry","Exports","Processing","Backflows","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",9438.94276110001,9438.94276110001,9438.94276110001,9406.47839312,9724.16007504,9427.87015791,7475.9640427,6843.33418861
"Imports","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",5632.081812233,5632.081812233,5632.081812233,5010.2514554046,4952.736040317,4910.9843342898,5334.5588234408,6191.696150603
"Domestic Input","Forestry industry","Availability","Processing","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",16870.7608343888,16870.7608343888,16870.7608343888,16875.3153343444,16897.1521523314,16785.354336076,16546.3846847146,16347.7281680036
"Domestic Input","Forestry industry","Availability","Processing","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",55965.2522514817,55965.2522514817,55965.2522514817,56200.4593473896,56267.9104147378,55970.4104836336,55252.1545199753,54322.2303749948
"Imports","Domestic Input","Sourcing","Availability","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",0,0,0,0,0,0,0,0
"Domestic Input","Forestry industry","Availability","Processing","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",14463.379337976,14463.379337976,14463.379337976,13932.704840479,13565.860476767,13301.810751769,13426.743686513,13459.044964782
"Domestic Input","Forestry industry","Availability","Processing","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",118924.338132005,118924.338132005,118924.338132005,116564.02583707,112349.16723301,110391.374967916,113808.321763142,112533.300648425
"Domestic Input","Forestry industry","Availability","Processing","Forestry biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",6723.503437522,6723.503437522,6723.503437522,6517.948490676,6382.577211782,6447.062680518,6946.349188484,7020.7640277
"Imports","Domestic Input","Sourcing","Availability","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",36252.9363108216,36252.9363108216,36252.9363108216,38344.6218034401,38316.9985288572,50607.0803018898,48453.0876233782,37049.1529405713
"Material industry","Consumables","Processing","Services","Metal Ores","Metal Ores","#fc8d62","env_wassd.tsv","kt","EU27_2020",95620,91429,94578,97728,96404,95081,92005,88929
"Material industry","Consumables","Processing","Services","Non-metallic Ores","Non-metallic Ores","#fc8d62","env_wassd.tsv","kt","EU27_2020",1387902,1369864,1389013,1408163,1426844,1445524,1411555,1377586
"Refinery, direct carry over and other","Consumables","Processing","Services","Agriculture biomass","Biomass","#66c2a5","biomass flows dataset","kt","EU27_2020",955.318545,955.318545,955.318545,966.556256,389.696433,526.096744,619.574479,734.450976
